Country_Name,1985,1990,1995,2000,2005,2010,2015
EGY,6.602035693,5.70174926,4.642466699,5.367997672,4.478960164,5.14510637,4.372019078
NIG,8.3228297,12.76600917,-0.307468969,5.318093381,3.444666813,7.839739477,2.652693289
IVR,4.501223175,-1.095908411,7.125744724,-2.068400057,1.721247367,2.017638592,8.842865441
ZIM,6.944387766,6.988552933,0.158025752,-3.059189626,-5.711083833,12.58102712,1.689594206
AUS,5.249350487,3.530801438,3.88933225,3.867868797,3.203548132,2.005879701,2.421610556
IRN,1.867649933,13.59492644,2.401044552,5.845527476,3.189804087,5.797938302,-1.32064512
JAP,6.333356889,5.5723983,2.742163827,2.779542546,1.662752768,4.192289082,1.219438139
SAU,-9.794502272,15.19342589,0.212091348,5.625416143,5.573850121,5.039493675,4.10640887
BEL,1.651792839,3.137402476,2.384757238,3.633652015,2.094272708,2.744213272,1.404494878
DEN,4.003685575,1.475244726,3.027634073,3.746900212,2.336664491,1.870992639,1.606608994
UK,4.195325469,0.731800512,2.469734452,3.66412896,3.096088937,1.69454714,2.345939517
FRA,1.623244589,2.914009701,2.085084537,3.875162259,1.607713814,1.965657375,1.067461648
CRO,,,,3.767496172,4.163840897,-1.701249763,2.246982586
GER,2.32793522,5.255006086,1.737640631,2.962045368,0.706713948,4.079933305,1.743205394
ICE,3.29284139,1.16937033,0.116583712,4.680514158,6.704392043,-3.559864876,4.096500228
POL,,,6.951856621,4.559571179,3.493658515,3.606928261,3.844593971
POR,2.807439672,3.950523332,4.282780446,3.787494645,0.766785013,1.898691176,1.822067428
RUS,,-2.999995642,-4.143528406,9.999999999,6.376187027,4.503725626,-2.828240813
SER,,,,7.759209405,5.540426974,0.584478088,0.757715153
SPA,2.321435857,3.781393465,2.757494033,5.289099595,3.723001788,0.014063878,3.432253328
SWI,3.673595918,3.674625638,0.480866443,3.936823453,3.11524553,3.002699108,1.226384359
SWE,2.160373742,0.754674751,4.024306541,4.735287133,2.818329618,5.988926547,4.521969347
MEX,2.59338414,5.068306313,-5.75868238,5.296473838,3.032573659,5.11019849,2.649707412
COS,1.041412268,3.904917795,4.121496228,3.73453301,3.870873066,4.951863844,4.723266702
PAN,4.942233651,8.098993006,1.751678689,2.715373497,7.191278852,5.767349873,5.777393473
BRA,7.945861749,-3.102355949,4.416731354,4.11256491,3.202135213,7.528223562,-3.769252669
ARG,-7.586677184,-2.398959219,-2.845209611,-0.788998939,8.85165992,10.12539816,2.647271415
PER,2.061132066,-4.982563536,7.411395047,2.694371398,6.285060325,8.332459107,3.251202425
URG,1.466536029,0.297348378,-1.447598964,-1.92993064,7.460132106,7.803409668,0.370741267
COL,3.088264652,6.042038478,5.202437593,4.419993,4.706555934,3.971800705,3.052016573
